n = 1 | d = 1 | goodJ.size() = 0 | err = 0.0
n = 11 | d = 11 | goodJ.size() = 0 | err = 0.7272727272727273
n = 11 | d = 21 | goodJ.size() = 1 | err = 0.5454545454545454
n = 11 | d = 31 | goodJ.size() = 1 | err = 0.5454545454545454
n = 11 | d = 41 | goodJ.size() = 3 | err = 0.7272727272727273
n = 11 | d = 51 | goodJ.size() = 3 | err = 0.4545454545454546
n = 11 | d = 61 | goodJ.size() = 2 | err = 0.6363636363636364
n = 11 | d = 71 | goodJ.size() = 2 | err = 0.5454545454545454
n = 11 | d = 81 | goodJ.size() = 1 | err = 0.2727272727272727
n = 11 | d = 91 | goodJ.size() = 5 | err = 0.2727272727272727
n = 11 | d = 101 | goodJ.size() = 3 | err = 0.36363636363636365
n = 11 | d = 111 | goodJ.size() = 3 | err = 0.4545454545454546
n = 11 | d = 121 | goodJ.size() = 3 | err = 0.7272727272727273
n = 11 | d = 131 | goodJ.size() = 1 | err = 0.5454545454545454
n = 11 | d = 141 | goodJ.size() = 3 | err = 0.2727272727272727
n = 11 | d = 151 | goodJ.size() = 10 | err = 0.5454545454545454
n = 11 | d = 161 | goodJ.size() = 7 | err = 0.36363636363636365
n = 11 | d = 171 | goodJ.size() = 4 | err = 0.36363636363636365
n = 11 | d = 181 | goodJ.size() = 4 | err = 0.36363636363636365
n = 11 | d = 191 | goodJ.size() = 8 | err = 0.5454545454545454
n = 11 | d = 201 | goodJ.size() = 12 | err = 0.36363636363636365
n = 11 | d = 211 | goodJ.size() = 7 | err = 0.7272727272727273
n = 11 | d = 221 | goodJ.size() = 8 | err = 0.4545454545454546
n = 11 | d = 231 | goodJ.size() = 7 | err = 0.5454545454545454
n = 11 | d = 241 | goodJ.size() = 5 | err = 0.9090909090909092
n = 11 | d = 251 | goodJ.size() = 11 | err = 0.6363636363636364
n = 11 | d = 261 | goodJ.size() = 12 | err = 0.36363636363636365
n = 11 | d = 271 | goodJ.size() = 8 | err = 0.36363636363636365
n = 11 | d = 281 | goodJ.size() = 16 | err = 0.6363636363636364
n = 11 | d = 291 | goodJ.size() = 12 | err = 0.2727272727272727
n = 11 | d = 301 | goodJ.size() = 8 | err = 0.5454545454545454
n = 11 | d = 311 | goodJ.size() = 13 | err = 0.6363636363636364
n = 11 | d = 321 | goodJ.size() = 6 | err = 0.6363636363636364
n = 11 | d = 331 | goodJ.size() = 18 | err = 0.6363636363636364
n = 11 | d = 341 | goodJ.size() = 9 | err = 0.6363636363636364
n = 11 | d = 351 | goodJ.size() = 10 | err = 0.5454545454545454
n = 11 | d = 361 | goodJ.size() = 8 | err = 0.5454545454545454
n = 11 | d = 371 | goodJ.size() = 13 | err = 0.36363636363636365
n = 11 | d = 381 | goodJ.size() = 10 | err = 0.7272727272727273
n = 11 | d = 391 | goodJ.size() = 11 | err = 0.6363636363636364
n = 11 | d = 401 | goodJ.size() = 10 | err = 0.6363636363636364
n = 11 | d = 411 | goodJ.size() = 16 | err = 0.5454545454545454
n = 11 | d = 421 | goodJ.size() = 13 | err = 0.5454545454545454
n = 11 | d = 431 | goodJ.size() = 11 | err = 0.4545454545454546
n = 11 | d = 441 | goodJ.size() = 19 | err = 0.5454545454545454
n = 11 | d = 451 | goodJ.size() = 15 | err = 0.6363636363636364
n = 11 | d = 461 | goodJ.size() = 13 | err = 0.5454545454545454
n = 11 | d = 471 | goodJ.size() = 13 | err = 0.6363636363636364
n = 11 | d = 481 | goodJ.size() = 27 | err = 0.6363636363636364
n = 11 | d = 491 | goodJ.size() = 9 | err = 0.36363636363636365
n = 11 | d = 501 | goodJ.size() = 17 | err = 0.5454545454545454
n = 11 | d = 511 | goodJ.size() = 25 | err = 0.4545454545454546
n = 11 | d = 521 | goodJ.size() = 14 | err = 0.4545454545454546
n = 11 | d = 531 | goodJ.size() = 23 | err = 0.4545454545454546
n = 11 | d = 541 | goodJ.size() = 17 | err = 0.36363636363636365
n = 11 | d = 551 | goodJ.size() = 16 | err = 0.5454545454545454
n = 11 | d = 561 | goodJ.size() = 15 | err = 0.4545454545454546
n = 11 | d = 571 | goodJ.size() = 20 | err = 0.36363636363636365
n = 11 | d = 581 | goodJ.size() = 23 | err = 0.5454545454545454
n = 11 | d = 591 | goodJ.size() = 20 | err = 0.5454545454545454
n = 11 | d = 601 | goodJ.size() = 19 | err = 0.36363636363636365
n = 11 | d = 611 | goodJ.size() = 20 | err = 0.4545454545454546
n = 11 | d = 621 | goodJ.size() = 16 | err = 0.6363636363636364
n = 11 | d = 631 | goodJ.size() = 19 | err = 0.36363636363636365
n = 11 | d = 641 | goodJ.size() = 19 | err = 0.6363636363636364
n = 11 | d = 651 | goodJ.size() = 12 | err = 0.4545454545454546
n = 11 | d = 661 | goodJ.size() = 24 | err = 0.4545454545454546
n = 11 | d = 671 | goodJ.size() = 18 | err = 0.2727272727272727
n = 11 | d = 681 | goodJ.size() = 25 | err = 0.4545454545454546
n = 11 | d = 691 | goodJ.size() = 24 | err = 0.2727272727272727
n = 11 | d = 701 | goodJ.size() = 25 | err = 0.7272727272727273
n = 11 | d = 711 | goodJ.size() = 28 | err = 0.4545454545454546
n = 11 | d = 721 | goodJ.size() = 32 | err = 0.4545454545454546
n = 11 | d = 731 | goodJ.size() = 19 | err = 0.2727272727272727
n = 11 | d = 741 | goodJ.size() = 27 | err = 0.7272727272727273
n = 11 | d = 751 | goodJ.size() = 26 | err = 0.4545454545454546
n = 11 | d = 761 | goodJ.size() = 28 | err = 0.6363636363636364
n = 11 | d = 771 | goodJ.size() = 32 | err = 0.4545454545454546
n = 11 | d = 781 | goodJ.size() = 24 | err = 0.2727272727272727
n = 11 | d = 791 | goodJ.size() = 28 | err = 0.2727272727272727
n = 11 | d = 801 | goodJ.size() = 15 | err = 0.36363636363636365
n = 11 | d = 811 | goodJ.size() = 28 | err = 0.2727272727272727
n = 11 | d = 821 | goodJ.size() = 35 | err = 0.5454545454545454
n = 11 | d = 831 | goodJ.size() = 21 | err = 0.4545454545454546
n = 11 | d = 841 | goodJ.size() = 22 | err = 0.36363636363636365
n = 11 | d = 851 | goodJ.size() = 25 | err = 0.5454545454545454
n = 11 | d = 861 | goodJ.size() = 36 | err = 0.6363636363636364
n = 11 | d = 871 | goodJ.size() = 21 | err = 0.8181818181818182
n = 11 | d = 881 | goodJ.size() = 27 | err = 0.2727272727272727
n = 11 | d = 891 | goodJ.size() = 29 | err = 0.2727272727272727
n = 11 | d = 901 | goodJ.size() = 26 | err = 0.6363636363636364
n = 11 | d = 911 | goodJ.size() = 31 | err = 0.4545454545454546
n = 11 | d = 921 | goodJ.size() = 30 | err = 0.18181818181818182
n = 11 | d = 931 | goodJ.size() = 28 | err = 0.36363636363636365
n = 11 | d = 941 | goodJ.size() = 28 | err = 0.36363636363636365
n = 11 | d = 951 | goodJ.size() = 38 | err = 0.36363636363636365
n = 11 | d = 961 | goodJ.size() = 30 | err = 0.36363636363636365
n = 11 | d = 971 | goodJ.size() = 37 | err = 0.6363636363636364
n = 11 | d = 981 | goodJ.size() = 37 | err = 0.6363636363636364
n = 11 | d = 991 | goodJ.size() = 30 | err = 0.5454545454545454
n = 21 | d = 1 | goodJ.size() = 0 | err = 0.5714285714285714
n = 21 | d = 11 | goodJ.size() = 0 | err = 0.42857142857142855
n = 21 | d = 21 | goodJ.size() = 0 | err = 0.2857142857142857
n = 21 | d = 31 | goodJ.size() = 0 | err = 0.42857142857142855
n = 21 | d = 41 | goodJ.size() = 0 | err = 0.42857142857142855
n = 21 | d = 51 | goodJ.size() = 2 | err = 0.47619047619047616
n = 21 | d = 61 | goodJ.size() = 0 | err = 0.5238095238095237
n = 21 | d = 71 | goodJ.size() = 2 | err = 0.5714285714285714
n = 21 | d = 81 | goodJ.size() = 2 | err = 0.38095238095238093
n = 21 | d = 91 | goodJ.size() = 1 | err = 0.6666666666666666
n = 21 | d = 101 | goodJ.size() = 3 | err = 0.47619047619047616
n = 21 | d = 111 | goodJ.size() = 3 | err = 0.42857142857142855
n = 21 | d = 121 | goodJ.size() = 2 | err = 0.42857142857142855
n = 21 | d = 131 | goodJ.size() = 3 | err = 0.6666666666666666
n = 21 | d = 141 | goodJ.size() = 0 | err = 0.47619047619047616
n = 21 | d = 151 | goodJ.size() = 3 | err = 0.6666666666666666
n = 21 | d = 161 | goodJ.size() = 3 | err = 0.47619047619047616
n = 21 | d = 171 | goodJ.size() = 2 | err = 0.38095238095238093
n = 21 | d = 181 | goodJ.size() = 0 | err = 0.47619047619047616
n = 21 | d = 191 | goodJ.size() = 1 | err = 0.5238095238095237
n = 21 | d = 201 | goodJ.size() = 3 | err = 0.47619047619047616
n = 21 | d = 211 | goodJ.size() = 6 | err = 0.5238095238095237
n = 21 | d = 221 | goodJ.size() = 2 | err = 0.5714285714285714
n = 21 | d = 231 | goodJ.size() = 1 | err = 0.47619047619047616
n = 21 | d = 241 | goodJ.size() = 5 | err = 0.5238095238095237
n = 21 | d = 251 | goodJ.size() = 2 | err = 0.47619047619047616
n = 21 | d = 261 | goodJ.size() = 1 | err = 0.5714285714285714
n = 21 | d = 271 | goodJ.size() = 3 | err = 0.42857142857142855
n = 21 | d = 281 | goodJ.size() = 5 | err = 0.3333333333333333
n = 21 | d = 291 | goodJ.size() = 2 | err = 0.5714285714285714
n = 21 | d = 301 | goodJ.size() = 1 | err = 0.5238095238095237
n = 21 | d = 311 | goodJ.size() = 3 | err = 0.5714285714285714
n = 21 | d = 321 | goodJ.size() = 2 | err = 0.42857142857142855
n = 21 | d = 331 | goodJ.size() = 2 | err = 0.42857142857142855
n = 21 | d = 341 | goodJ.size() = 8 | err = 0.5714285714285714
n = 21 | d = 351 | goodJ.size() = 3 | err = 0.5238095238095237
n = 21 | d = 361 | goodJ.size() = 3 | err = 0.47619047619047616
n = 21 | d = 371 | goodJ.size() = 4 | err = 0.5238095238095237
n = 21 | d = 381 | goodJ.size() = 8 | err = 0.6190476190476191
n = 21 | d = 391 | goodJ.size() = 5 | err = 0.5238095238095237
n = 21 | d = 401 | goodJ.size() = 5 | err = 0.23809523809523808
n = 21 | d = 411 | goodJ.size() = 6 | err = 0.38095238095238093
n = 21 | d = 421 | goodJ.size() = 9 | err = 0.6190476190476191
n = 21 | d = 431 | goodJ.size() = 7 | err = 0.38095238095238093
n = 21 | d = 441 | goodJ.size() = 5 | err = 0.5714285714285714
n = 21 | d = 451 | goodJ.size() = 10 | err = 0.5238095238095237
n = 21 | d = 461 | goodJ.size() = 2 | err = 0.42857142857142855
n = 21 | d = 471 | goodJ.size() = 3 | err = 0.5714285714285714
n = 21 | d = 481 | goodJ.size() = 6 | err = 0.38095238095238093
n = 21 | d = 491 | goodJ.size() = 4 | err = 0.3333333333333333
n = 21 | d = 501 | goodJ.size() = 3 | err = 0.42857142857142855
n = 21 | d = 511 | goodJ.size() = 5 | err = 0.5238095238095237
n = 21 | d = 521 | goodJ.size() = 5 | err = 0.7142857142857142
n = 21 | d = 531 | goodJ.size() = 11 | err = 0.6190476190476191
n = 21 | d = 541 | goodJ.size() = 9 | err = 0.42857142857142855
n = 21 | d = 551 | goodJ.size() = 11 | err = 0.5714285714285714
n = 21 | d = 561 | goodJ.size() = 5 | err = 0.38095238095238093
n = 21 | d = 571 | goodJ.size() = 9 | err = 0.5238095238095237
n = 21 | d = 581 | goodJ.size() = 11 | err = 0.42857142857142855
n = 21 | d = 591 | goodJ.size() = 8 | err = 0.6190476190476191
n = 21 | d = 601 | goodJ.size() = 13 | err = 0.6666666666666666
n = 21 | d = 611 | goodJ.size() = 2 | err = 0.5238095238095237
n = 21 | d = 621 | goodJ.size() = 11 | err = 0.5238095238095237
n = 21 | d = 631 | goodJ.size() = 11 | err = 0.42857142857142855
n = 21 | d = 641 | goodJ.size() = 12 | err = 0.42857142857142855
n = 21 | d = 651 | goodJ.size() = 6 | err = 0.5238095238095237
n = 21 | d = 661 | goodJ.size() = 9 | err = 0.5714285714285714
n = 21 | d = 671 | goodJ.size() = 14 | err = 0.2857142857142857
n = 21 | d = 681 | goodJ.size() = 13 | err = 0.47619047619047616
n = 21 | d = 691 | goodJ.size() = 6 | err = 0.42857142857142855
n = 21 | d = 701 | goodJ.size() = 11 | err = 0.38095238095238093
n = 21 | d = 711 | goodJ.size() = 9 | err = 0.47619047619047616
n = 21 | d = 721 | goodJ.size() = 8 | err = 0.42857142857142855
n = 21 | d = 731 | goodJ.size() = 4 | err = 0.5714285714285714
n = 21 | d = 741 | goodJ.size() = 14 | err = 0.5238095238095237
n = 21 | d = 751 | goodJ.size() = 9 | err = 0.3333333333333333
n = 21 | d = 761 | goodJ.size() = 9 | err = 0.47619047619047616
n = 21 | d = 771 | goodJ.size() = 7 | err = 0.42857142857142855
n = 21 | d = 781 | goodJ.size() = 10 | err = 0.6666666666666666
n = 21 | d = 791 | goodJ.size() = 11 | err = 0.7142857142857142
n = 21 | d = 801 | goodJ.size() = 7 | err = 0.5714285714285714
n = 21 | d = 811 | goodJ.size() = 10 | err = 0.6190476190476191
n = 21 | d = 821 | goodJ.size() = 12 | err = 0.5238095238095237
n = 21 | d = 831 | goodJ.size() = 12 | err = 0.42857142857142855
n = 21 | d = 841 | goodJ.size() = 13 | err = 0.5714285714285714
n = 21 | d = 851 | goodJ.size() = 9 | err = 0.6666666666666666
n = 21 | d = 861 | goodJ.size() = 21 | err = 0.42857142857142855
n = 21 | d = 871 | goodJ.size() = 10 | err = 0.5714285714285714
n = 21 | d = 881 | goodJ.size() = 6 | err = 0.6190476190476191
n = 21 | d = 891 | goodJ.size() = 17 | err = 0.6666666666666666
n = 21 | d = 901 | goodJ.size() = 16 | err = 0.5714285714285714
n = 21 | d = 911 | goodJ.size() = 12 | err = 0.5238095238095237
n = 21 | d = 921 | goodJ.size() = 13 | err = 0.2857142857142857
n = 21 | d = 931 | goodJ.size() = 11 | err = 0.5238095238095237
n = 21 | d = 941 | goodJ.size() = 9 | err = 0.47619047619047616
n = 21 | d = 951 | goodJ.size() = 15 | err = 0.38095238095238093
n = 21 | d = 961 | goodJ.size() = 10 | err = 0.5714285714285714
n = 21 | d = 971 | goodJ.size() = 13 | err = 0.5238095238095237
n = 21 | d = 981 | goodJ.size() = 10 | err = 0.6190476190476191
n = 21 | d = 991 | goodJ.size() = 17 | err = 0.5238095238095237
n = 31 | d = 1 | goodJ.size() = 0 | err = 0.6451612903225806
n = 31 | d = 11 | goodJ.size() = 0 | err = 0.4838709677419355
n = 31 | d = 21 | goodJ.size() = 1 | err = 0.4193548387096774
n = 31 | d = 31 | goodJ.size() = 1 | err = 0.5806451612903225
n = 31 | d = 41 | goodJ.size() = 0 | err = 0.4838709677419355
n = 31 | d = 51 | goodJ.size() = 1 | err = 0.5483870967741935
n = 31 | d = 61 | goodJ.size() = 1 | err = 0.5161290322580645
n = 31 | d = 71 | goodJ.size() = 1 | err = 0.4838709677419355
n = 31 | d = 81 | goodJ.size() = 2 | err = 0.6129032258064516
n = 31 | d = 91 | goodJ.size() = 1 | err = 0.45161290322580644
n = 31 | d = 101 | goodJ.size() = 1 | err = 0.45161290322580644
n = 31 | d = 111 | goodJ.size() = 1 | err = 0.45161290322580644
n = 31 | d = 121 | goodJ.size() = 2 | err = 0.6774193548387096
n = 31 | d = 131 | goodJ.size() = 2 | err = 0.45161290322580644
n = 31 | d = 141 | goodJ.size() = 2 | err = 0.5806451612903225
n = 31 | d = 151 | goodJ.size() = 5 | err = 0.5483870967741935
n = 31 | d = 161 | goodJ.size() = 0 | err = 0.6129032258064516
n = 31 | d = 171 | goodJ.size() = 3 | err = 0.4193548387096774
n = 31 | d = 181 | goodJ.size() = 0 | err = 0.45161290322580644
n = 31 | d = 191 | goodJ.size() = 1 | err = 0.45161290322580644
n = 31 | d = 201 | goodJ.size() = 6 | err = 0.45161290322580644
n = 31 | d = 211 | goodJ.size() = 3 | err = 0.6451612903225806
n = 31 | d = 221 | goodJ.size() = 6 | err = 0.4193548387096774
n = 31 | d = 231 | goodJ.size() = 3 | err = 0.6451612903225806
n = 31 | d = 241 | goodJ.size() = 3 | err = 0.45161290322580644
n = 31 | d = 251 | goodJ.size() = 5 | err = 0.4193548387096774
n = 31 | d = 261 | goodJ.size() = 6 | err = 0.3225806451612903
n = 31 | d = 271 | goodJ.size() = 3 | err = 0.4838709677419355
n = 31 | d = 281 | goodJ.size() = 2 | err = 0.5806451612903225
n = 31 | d = 291 | goodJ.size() = 4 | err = 0.3870967741935484
n = 31 | d = 301 | goodJ.size() = 5 | err = 0.6451612903225806
n = 31 | d = 311 | goodJ.size() = 4 | err = 0.3225806451612903
n = 31 | d = 321 | goodJ.size() = 5 | err = 0.5806451612903225
n = 31 | d = 331 | goodJ.size() = 3 | err = 0.5806451612903225
n = 31 | d = 341 | goodJ.size() = 4 | err = 0.5483870967741935
n = 31 | d = 351 | goodJ.size() = 2 | err = 0.6129032258064516
n = 31 | d = 361 | goodJ.size() = 3 | err = 0.6451612903225806
n = 31 | d = 371 | goodJ.size() = 6 | err = 0.5161290322580645
n = 31 | d = 381 | goodJ.size() = 8 | err = 0.4193548387096774
n = 31 | d = 391 | goodJ.size() = 2 | err = 0.4838709677419355
n = 31 | d = 401 | goodJ.size() = 6 | err = 0.6451612903225806
n = 31 | d = 411 | goodJ.size() = 8 | err = 0.5806451612903225
n = 31 | d = 421 | goodJ.size() = 8 | err = 0.3870967741935484
n = 31 | d = 431 | goodJ.size() = 5 | err = 0.45161290322580644
n = 31 | d = 441 | goodJ.size() = 4 | err = 0.5161290322580645
n = 31 | d = 451 | goodJ.size() = 10 | err = 0.4838709677419355
n = 31 | d = 461 | goodJ.size() = 6 | err = 0.4838709677419355
n = 31 | d = 471 | goodJ.size() = 6 | err = 0.6129032258064516
n = 31 | d = 481 | goodJ.size() = 5 | err = 0.4838709677419355
n = 31 | d = 491 | goodJ.size() = 8 | err = 0.5161290322580645
n = 31 | d = 501 | goodJ.size() = 11 | err = 0.5806451612903225
n = 31 | d = 511 | goodJ.size() = 5 | err = 0.3870967741935484
n = 31 | d = 521 | goodJ.size() = 8 | err = 0.6451612903225806
n = 31 | d = 531 | goodJ.size() = 6 | err = 0.5161290322580645
n = 31 | d = 541 | goodJ.size() = 4 | err = 0.6774193548387096
n = 31 | d = 551 | goodJ.size() = 6 | err = 0.6774193548387096
n = 31 | d = 561 | goodJ.size() = 5 | err = 0.4193548387096774
n = 31 | d = 571 | goodJ.size() = 10 | err = 0.5161290322580645
n = 31 | d = 581 | goodJ.size() = 13 | err = 0.4193548387096774
n = 31 | d = 591 | goodJ.size() = 8 | err = 0.6451612903225806
n = 31 | d = 601 | goodJ.size() = 7 | err = 0.3870967741935484
n = 31 | d = 611 | goodJ.size() = 7 | err = 0.45161290322580644
n = 31 | d = 621 | goodJ.size() = 4 | err = 0.6451612903225806
n = 31 | d = 631 | goodJ.size() = 6 | err = 0.45161290322580644
n = 31 | d = 641 | goodJ.size() = 8 | err = 0.6774193548387096
n = 31 | d = 651 | goodJ.size() = 5 | err = 0.5483870967741935
n = 31 | d = 661 | goodJ.size() = 12 | err = 0.6129032258064516
n = 31 | d = 671 | goodJ.size() = 15 | err = 0.4193548387096774
n = 31 | d = 681 | goodJ.size() = 7 | err = 0.45161290322580644
n = 31 | d = 691 | goodJ.size() = 11 | err = 0.3548387096774194
n = 31 | d = 701 | goodJ.size() = 9 | err = 0.4193548387096774
n = 31 | d = 711 | goodJ.size() = 14 | err = 0.5806451612903225
n = 31 | d = 721 | goodJ.size() = 11 | err = 0.4193548387096774
n = 31 | d = 731 | goodJ.size() = 9 | err = 0.45161290322580644
n = 31 | d = 741 | goodJ.size() = 13 | err = 0.45161290322580644
n = 31 | d = 751 | goodJ.size() = 10 | err = 0.4838709677419355
n = 31 | d = 761 | goodJ.size() = 15 | err = 0.5483870967741935
n = 31 | d = 771 | goodJ.size() = 15 | err = 0.6451612903225806
n = 31 | d = 781 | goodJ.size() = 9 | err = 0.4838709677419355
n = 31 | d = 791 | goodJ.size() = 17 | err = 0.45161290322580644
n = 31 | d = 801 | goodJ.size() = 16 | err = 0.5483870967741935
n = 31 | d = 811 | goodJ.size() = 13 | err = 0.3870967741935484
n = 31 | d = 821 | goodJ.size() = 13 | err = 0.6129032258064516
n = 31 | d = 831 | goodJ.size() = 13 | err = 0.29032258064516125
n = 31 | d = 841 | goodJ.size() = 15 | err = 0.6129032258064516
n = 31 | d = 851 | goodJ.size() = 8 | err = 0.5483870967741935
n = 31 | d = 861 | goodJ.size() = 12 | err = 0.5806451612903225
n = 31 | d = 871 | goodJ.size() = 10 | err = 0.3870967741935484
n = 31 | d = 881 | goodJ.size() = 10 | err = 0.5161290322580645
n = 31 | d = 891 | goodJ.size() = 14 | err = 0.6129032258064516
n = 31 | d = 901 | goodJ.size() = 16 | err = 0.5483870967741935
n = 31 | d = 911 | goodJ.size() = 19 | err = 0.5161290322580645
n = 31 | d = 921 | goodJ.size() = 9 | err = 0.4193548387096774
n = 31 | d = 931 | goodJ.size() = 15 | err = 0.6129032258064516
n = 31 | d = 941 | goodJ.size() = 9 | err = 0.4193548387096774
n = 31 | d = 951 | goodJ.size() = 22 | err = 0.3225806451612903
n = 31 | d = 961 | goodJ.size() = 17 | err = 0.4193548387096774
n = 31 | d = 971 | goodJ.size() = 10 | err = 0.5483870967741935
n = 31 | d = 981 | goodJ.size() = 16 | err = 0.6129032258064516
n = 31 | d = 991 | goodJ.size() = 19 | err = 0.3548387096774194
n = 41 | d = 1 | goodJ.size() = 0 | err = 0.4634146341463415
